,DIST_NAME,INCOME,,,DIST_NAME_other spreadsheet (MikesData)
,,,,,Plainfield Public School District
,,,,,North Hanover Township School District
,,,,,Educational Services Commission Of New Jersey
,,,,,Summit Public School District
,,,,,Summit Public School District
,,,,,Area Vocational Technical Schools Of Mercer County
,,,,,Trenton Public School District
,,,,,Trenton Public School District
,,,,,Trenton Public School District
,,,,,Trenton Public School District
,,,,,Trenton Public School District
,,,,,Trenton Public School District
,,,,,Hopewell Valley Regional School District
,,,,,Hopewell Valley Regional School District
,,,,,Hopewell Valley Regional School District
,,,,,Atlantic City School District
,,,,,Paulsboro School District
,,,,,Woodbridge Township School District
,,,,,Long Branch Public School District
,,,,,Lakewood Township School District
,,,,,Bergen County Vocational Technical School District
,,,,,Garfield Public School District
,,,,,South Orange-Maplewood School District
,,,,,Newark Public School District
,,,,,Newark Public School District
,,,,,Union County Vocational-Technical School District
,,,,,Lakewood Township School District
,,,,,Area Vocational Technical Schools Of Mercer County
,,,,,Mercer County Special Services School District
,,,,,"Kipp: Cooper Norcross, A New Jersey Nonprofit Corporation"
,,,,,"Camden Prep, Inc."
,,,,,Paterson Public School District
,,,,,Bound Brook School District
,,,,,Bound Brook School District
,,,,,Bound Brook School District
,,,,,North Plainfield School District
,,,,,Long Branch
,,,,,Bergen County Special Services School District
,,,,,Passaic City School District
,,,,,Newark Public School District
,,,,,Northern Valley Regional High School District
,,,,,Ewing Township School District
,,,,,Ewing Township School District
,,,,,Hopewell Valley Regional School District
,,,,,Hopewell Valley Regional School District
,,,,,Ewing Township School District
,,,,,Ewing Township School District
,,,,,Newark Public School District
,,,,,Newark Public School District
,,,,,Westfield Public School District
,,,,,Upper Freehold Regional School District
,,,,,Trenton Public School District
,,,,,Trenton Public School District
,,,,,Jersey City Public Schools
,,,,,Englewood Public School District
,,,,,Greater Egg Harbor Regional High School District
,,,,,Pittsgrove Township School District
,,,,,Paterson Public School District
,,,,,Atlantic County Vocational School District
,,,,,Buena Regional School District
,,,,,Pleasantville Public School District
,,,,,Edgewater School District
,,,,,Hackensack School District
,,,,,Midland Park School District
,,,,,Pemberton Township School District
,,,,,Upper Township School District
,,,,,Orange Board Of Education School District
,,,,,Orange Board Of Education School District
,,,,,Newark Public School District
,,,,,Newark Public School District
,,,,,Newark Public School District
,,,,,Newark Public School District
,,,,,Newark Public School District
,,,,,Newark Public School District
,,,,,Gloucester County Special Services School District
,,,,,Gloucester County Special Services School District
,,,,,Hudson County Schools Of Technology School District
,,,,,Hudson County Schools Of Technology School District
,,,,,Hudson County Schools Of Technology School District
,,,,,Union City School District
,,,,,Edison Township School District
,,,,,Edison Township School District
,,,,,Monroe Township School District
,,,,,Monmouth County Vocational School District
,,,,,Monmouth-Ocean Educational Services Commission School District
,,,,,Little Egg Harbor Township School District
,,,,,Paterson Public School District
,,,,,Paterson Public School District
,,,,,Salem City School District
,,,,,Salem County Special Services School District
,,,,,Salem County Special Services School District
,,,,,Sparta Township Public School District
,,,,,Roselle Public Schools
,,,,,Middlesex County Vocational And Technical School District
,,,,,Paterson Public School District
,,,,,Paterson Public School District
,,,,,Northvale Public School District
,,,,,Newark Public School District
,,,,,Union City School District
,,,,,Paterson Public School District
,,,,,Paterson Public School District
,,,,,New Brunswick School District
,,,,,Montgomery Township School District
,,,,,New Brunswick School District
,,,,,New Brunswick School District
,,,,,Clark Township Public School District
,,,,,Lyndhurst School District
,,,,,Wood-Ridge School District
,,,,,Newark Public School District
,,,,,Elizabeth Public Schools
,,,,,Newark Public School District
,,,,,Hoboken Public School District
,,,,,Jersey City Public Schools
,,,,,Marie H. Katzenbach School For The Deaf
,,,,,Marie H. Katzenbach School For The Deaf
,,,,,New Brunswick School District
,,,,,Morris County Vocational School District
,,,,,Paterson Public School District
,,,,,Paterson Public School District
,,,,,Paterson Public School District
,,,,,Elizabeth Public Schools
,,,,,Elizabeth Public Schools
,,,,,Union County Vocational-Technical School District
,,,,,Burlington County Special Services School District
,,,,,"Mastery Schools Of Camden, Inc. "
,,,,,"Mastery Schools Of Camden, Inc. "
,,,,,Team Academy Charter School
,,,,,Team Academy Charter School
,,,,,Team Academy Charter School
,,,,,Team Academy Charter School
,,,,,Marion P. Thomas Charter School
,,,,,Marion P. Thomas Charter School
,,,,,Marion P. Thomas Charter School
,,,,,Foundation Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,North Star Academy Charter School
,,,,,Bergen Arts And Sciences Charter School
,,,,,Bergen Arts And Sciences Charter School
,,,,,Passaic Arts And Science Charter School
,,,,,Passaic Arts And Science Charter School
,,,,,Camden'S Promise Charter School
,,,,,Camden'S Promise Charter School
,,,,,Leap Academy University Charter School
,,,,,Leap Academy University Charter School
,,,,,Leap Academy University Charter School
,,,,,Robert Treat Academy Charter School
,,,,,Team Academy Charter School
,,,,,Team Academy Charter School
,,,,,Team Academy Charter School
,,,,,Team Academy Charter School
,,,,,Hoboken Charter School
,,,,,Pace Charter School Of Hamilton
,,,,,Pace Charter School Of Hamilton
,,,,,Community Charter School Of Paterson
,,,,,Community Charter School Of Paterson
,,,,,Paterson Charter School For Science/Technology
,,,,,College Achieve Central Charter School
,,,,,Perth Amboy City
,,,,,Marlboro Twp
,,,,,Long Branch City
,,,,,Long Branch City
,,,,,Pemberton Township School District
,,,,,Pemberton Township School District
,,,,,Willingboro Public School District
,,,,,Newark Public School District
,,,,,Jersey City Public Schools
,,,,,Union City School District
,,,,,Area Vocational Technical Schools Of Mercer County
,,,,,Area Vocational Technical Schools Of Mercer County
,,,,,Area Vocational Technical Schools Of Mercer County
,,,,,Perth Amboy Public School District
,,,,,Morris County Vocational School District
,,,,,Union County Educational Services Commission
,,,,,Achieve Community Charter School
,,,,,Lead Charter School
,,,,,Livingston
