,DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,GRADESPAN,DS_CODE
853,3570,NEWARK CITY,390,ELLIOTT STREET ELEMENTARY SCHOOL,PK-06,3570-390
854,3570,NEWARK CITY,410,FIRST AVENUE SCHOOL,PK-08,3570-410
855,3570,NEWARK CITY,415,DR. E. ALMA FLAGG SCHOOL,PK-08,3570-415
856,3570,NEWARK CITY,420,FOURTEENTH AVENUE SCHOOL,PK-05,3570-420
857,3570,NEWARK CITY,430,BENJAMIN FRANKLIN ELEMENTARY SCHOOL,PK-04,3570-430
858,3570,NEWARK CITY,435,GEORGE WASHINGTON CARVER ELEMENTARY SCHOOL,PK-08,3570-435
859,3570,NEWARK CITY,440,DR WILLIAM H HORTON ELEMENTARY SCHOOL,PK-08,3570-440
860,3570,NEWARK CITY,455,HARRIET TUBMAN ELEMENTARY SCHOOL,PK-06,3570-455
861,3570,NEWARK CITY,460,HAWKINS STREET SCHOOL,PK-08,3570-460
862,3570,NEWARK CITY,470,HAWTHORNE AVENUE SCHOOL,PK-08,3570-470
863,3570,NEWARK CITY,477,JOHN F KENNEDY SCHOOL,PK-12,3570-477
864,3570,NEWARK CITY,480,LAFAYETTE STREET SCHOOL,PK-08,3570-480
