GEO.id,,GEO.display-label,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13
Id,,Geography,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars)
8600000US08629,,ZCTA5 08629,61058,7005,66313,11012,73024,7867,43039,7501
8600000US08638,,ZCTA5 08638,50754,3742,59620,5526,88503,10689,32070,9552
8600000US08640,,ZCTA5 08640,58750,6925,60625,17177,69148,13174,50556,27082
8600000US08641,,ZCTA5 08641,57500,10064,58289,10090,62712,6977,36875,22260
8600000US08648,,ZCTA5 08648,95537,6714,114375,5266,122411,8064,63307,3773
8600000US08690,,ZCTA5 08690,99837,6583,121955,9014,130818,5150,58726,12468
8600000US08691,,ZCTA5 08691,119659,10713,149960,11902,166042,18899,52563,9260
8600000US08701,,ZCTA5 08701,45321,2355,49228,1925,53261,4653,30402,2964
8600000US08720,,ZCTA5 08720,122826,60985,124293,19501,125169,10827,-,**
8600000US08721,,ZCTA5 08721,78496,4949,87320,8005,104210,3550,39954,7438
8600000US08722,,ZCTA5 08722,72815,5804,77007,8977,95375,13254,49278,7829
8600000US08723,,ZCTA5 08723,70174,4616,85826,7192,95413,5146,37422,6631
8600000US08724,,ZCTA5 08724,75988,3884,98631,8154,106305,4787,39641,3620
8600000US08730,,ZCTA5 08730,133493,9284,159583,23255,164519,32209,39954,19668
8600000US08731,,ZCTA5 08731,75333,8039,87348,8621,96000,7626,45313,5655
8600000US08732,,ZCTA5 08732,83929,5840,95078,12620,103846,11322,66250,16284
8600000US08733,,ZCTA5 08733,62262,12416,65847,11643,80197,14654,43958,23896
8600000US08734,,ZCTA5 08734,83086,6799,89394,11489,105703,10992,45928,20148
8600000US08735,,ZCTA5 08735,68224,8418,88750,18549,100739,9596,50833,16149
8600000US08736,,ZCTA5 08736,112836,7204,131936,7001,144479,18192,67451,11020
8600000US08738,,ZCTA5 08738,84167,18517,99934,21177,116250,36609,53125,16837
8600000US08740,,ZCTA5 08740,62813,11326,79423,12848,85000,16193,41250,11588
8600000US08741,,ZCTA5 08741,93750,17445,108897,18204,122000,25807,49500,27315
8600000US08742,,ZCTA5 08742,92579,8225,115927,11665,133421,10825,52655,3624
8600000US08750,,ZCTA5 08750,117950,14175,150114,25360,157333,16892,65893,19415
8600000US08751,,ZCTA5 08751,56667,21558,78056,32702,110920,15198,33393,7446
8600000US08752,,ZCTA5 08752,62464,24231,80813,7056,95167,27329,46154,5293
8600000US08753,,ZCTA5 08753,77119,3373,94194,3930,106452,3953,36757,3054
8600000US08755,,ZCTA5 08755,72674,7106,87061,8353,103700,7309,41038,3889
8600000US08757,,ZCTA5 08757,40767,1826,58553,2544,60984,2379,25220,2152
8600000US08758,,ZCTA5 08758,66692,3858,78021,10177,84634,10340,37946,14148
8600000US08759,,ZCTA5 08759,38212,2157,59583,2898,61812,4262,25196,1549
8600000US08801,,ZCTA5 08801,120435,16466,146477,9357,154100,11882,62991,14537
8600000US08802,,ZCTA5 08802,125494,14227,142837,30061,160577,41254,58900,12918
8600000US08804,,ZCTA5 08804,84375,14149,117031,12080,123750,22926,45114,8281
8600000US08805,,ZCTA5 08805,68125,6503,75580,8413,90104,18748,50784,3418
8600000US08807,,ZCTA5 08807,120065,5572,142329,6025,154375,7243,52833,8553
8600000US08808,,ZCTA5 08808,-,**,-,**,-,**,-,**
8600000US08809,,ZCTA5 08809,91157,11707,137348,11613,155592,14110,66083,8436
8600000US08810,,ZCTA5 08810,130203,14921,143816,23159,143750,21162,29191,10552
8600000US08812,,ZCTA5 08812,96463,18410,115880,8576,131127,12131,55667,11443
8600000US08816,,ZCTA5 08816,106039,4256,126638,4793,137946,7853,50811,8083
8600000US08817,,ZCTA5 08817,87688,4658,99119,3180,108584,3940,44167,6482
8600000US08820,,ZCTA5 08820,120911,7138,140094,5859,148136,7503,39157,4531
8600000US08821,,ZCTA5 08821,53859,23895,53859,11151,52708,28354,-,**
8600000US08822,,ZCTA5 08822,107215,6000,126856,10042,150545,9413,50726,8978
8600000US08823,,ZCTA5 08823,102851,10334,121963,6595,128313,10761,64351,10959
8600000US08824,,ZCTA5 08824,128623,9806,143491,12325,152536,11546,31512,18381
8600000US08825,,ZCTA5 08825,106858,14101,126346,13505,140800,12301,37102,12335
8600000US08826,,ZCTA5 08826,100931,11056,130063,14780,138542,21405,55282,16673
8600000US08827,,ZCTA5 08827,102928,10036,133417,22494,139904,26926,33864,22833
8600000US08828,,ZCTA5 08828,79702,13672,89728,17843,103036,10509,64167,18415
8600000US08829,,ZCTA5 08829,93026,13197,116691,8023,138558,26779,52202,17426
8600000US08830,,ZCTA5 08830,86875,7217,98203,7109,102716,5782,52981,16234
8600000US08831,,ZCTA5 08831,78920,4350,114214,7670,120855,4425,37153,3220
8600000US08832,,ZCTA5 08832,59009,13354,63275,7846,64911,8109,38621,3837
8600000US08833,,ZCTA5 08833,137063,12868,163438,21920,172500,19073,73281,10372
8600000US08835,,ZCTA5 08835,67080,4591,78322,6861,84429,9171,36770,6143
8600000US08836,,ZCTA5 08836,150994,17809,161042,16787,166645,13865,85938,60775
8600000US08837,,ZCTA5 08837,80423,3867,95000,4519,107468,10313,47049,6207
8600000US08840,,ZCTA5 08840,115785,5091,128869,7053,144524,8545,62879,7687
8600000US08844,,ZCTA5 08844,120173,5502,144077,6960,153792,7276,50246,7118
8600000US08846,,ZCTA5 08846,73196,9736,87784,11180,109712,30518,45842,5660
8600000US08848,,ZCTA5 08848,97319,10265,111495,8124,122074,23535,55054,12628
